@RELATION motion_tracking.arff

@ATTRIBUTE mean_x NUMERIC
@ATTRIBUTE std_x NUMERIC
@ATTRIBUTE min_x NUMERIC
@ATTRIBUTE max_x NUMERIC
@ATTRIBUTE range_x NUMERIC
@ATTRIBUTE rms_x NUMERIC
@ATTRIBUTE mean_y NUMERIC
@ATTRIBUTE std_y NUMERIC
@ATTRIBUTE min_y NUMERIC
@ATTRIBUTE max_y NUMERIC
@ATTRIBUTE range_y NUMERIC
@ATTRIBUTE rms_y NUMERIC
@ATTRIBUTE mean_z NUMERIC
@ATTRIBUTE std_z NUMERIC
@ATTRIBUTE min_z NUMERIC
@ATTRIBUTE max_z NUMERIC
@ATTRIBUTE range_z NUMERIC
@ATTRIBUTE rms_z NUMERIC
@ATTRIBUTE mean_mag NUMERIC
@ATTRIBUTE std_mag NUMERIC
@ATTRIBUTE mag_energy NUMERIC
@ATTRIBUTE spectral_entropy NUMERIC
@ATTRIBUTE class {left_hand,left_pocket,right_hand,right_pocket}

@DATA
-9.321460445006121,2.7197122872573307,-16.312973628257357,-5.773596701950223,10.539376926307135,9.7081976700685,-5.405580211275269,1.8445098462470289,-8.344857638164516,-1.4566070681343328,6.888250570030183,5.71010779945954,-1.932668551703202,0.8923652228115622,-4.563245380840395,0.41452887200175653,4.977774252842152,2.127792664995224,11.260354924292926,2.147564051921893,131.38433129049307,0.755786894859531,left_hand
-9.018495293080916,2.2307802574288536,-15.655473370052196,-5.773596701950223,9.881876668101974,9.288945293902904,-5.472657381100631,1.8630211289944913,-8.344857638164516,-1.4566070681343328,6.888250570030183,5.77955854750343,-2.134706478006831,0.9992330965930125,-5.293657802142622,0.41452887200175653,5.708186674144379,2.355927793258812,11.043370589141414,1.8159255389106652,125.23696505944183,0.7889617091212018,left_hand
-8.851997108546328,2.308168276216011,-16.20721676039463,-5.913375071517973,10.293841688876658,9.14650678260934,-5.729258153341286,1.6096214266263489,-8.479363740678437,-2.799606237009152,5.6797575036692844,5.949974358466958,-2.1555461492879586,0.9413956909140816,-5.293657802142622,-0.1531669810216159,5.1404908211210065,2.3511973886652378,10.981475985313132,2.006429418265489,124.59824171027566,0.6218587426043438,left_hand
-9.117046931785284,2.8839825965223453,-16.323996303201085,-5.8261413396803,10.497854963520785,9.56011995358157,-5.848995283521539,1.5299088237015719,-8.677101816724901,-2.260388730289375,6.416713086435527,6.044794911100845,-2.0165148198488936,0.980396248242312,-4.97520398150122,0.34716567222733563,5.322369653728556,2.2411279289538495,11.26037764130303,2.4903956237385976,132.96685139980298,0.5695339809931494,left_hand
-9.327383920389048,2.9142476156338537,-16.323996303201085,-5.8261413396803,10.497854963520785,9.769853470572764,-5.860992052883151,1.7135625806600387,-9.036598757535447,-2.260388730289375,6.776210027246073,6.105136753619408,-2.1913407437377046,1.0530626695148424,-5.151738455500019,0.34716567222733563,5.4989041277273545,2.4300852925443817,11.533832867181822,2.3732822726554264,138.6333225419371,0.6606588424247086,left_hand
-9.362492545681803,2.7808179550955665,-16.217260337089193,-5.909627331629167,10.307633005460026,9.76474064539749,-5.751371537329928,1.6782297532703123,-9.036598757535447,-3.1718210371084594,5.8647777204269875,5.990033818305156,-2.2577083089291845,0.9368420422652148,-5.151738455500019,-0.131080777956854,5.020657677543165,2.4434580267282993,11.505130582570708,2.206639097435766,137.21269362577868,0.6346308202147716,left_hand
-9.200528378431748,2.6189795795141726,-16.217260337089193,-5.909627331629167,10.307633005460026,9.564211143276793,-5.56820234171565,1.6153554280435414,-8.579481667555008,-2.93505223163844,5.644429435916567,5.796643151417867,-2.1070031810099508,0.7601296791277515,-4.479150022382846,-0.131080777956854,4.348069244425992,2.239272508329049,11.187037974025253,2.2286510881811163,130.0916190239579,0.655581021265538,left_hand
-9.038176077135603,2.532210446936699,-15.340235642821868,-6.230126463729071,9.110109179092797,9.384472934439486,-5.471494908410909,1.641178278942934,-8.579481667555008,-2.93505223163844,5.644429435916567,5.71113993101908,-2.2171879127731855,0.7146321011585995,-4.567187871820469,-0.24965807332496212,4.3175297984955066,2.328957275793832,11.012200778060606,2.204538086882063,126.10400875800136,0.6964926975997484,left_hand
-9.231549418030047,2.6276540628957323,-16.26999357256145,-6.230126463729071,10.039867108832379,9.596415944870454,-5.433224237387195,1.5634893980280669,-8.454300772752944,-2.5990518634564737,5.855248909296471,5.652616982994578,-2.251405985735801,0.7690746249658198,-4.567187871820469,-0.439832658875122,4.127355212945346,2.378511601814336,11.172833707358585,2.2148586839378512,129.71303628962931,0.648256021046971,left_hand
-9.316529169401784,2.589921489910731,-16.26999357256145,-6.088427206417435,10.181566366144015,9.668067637806747,-5.46687443485726,1.588085616404535,-8.730372659377851,-2.5990518634564737,6.131320795921377,5.691747935156655,-2.3113187881907886,0.8542040022350723,-4.482852118246224,-0.46541286705013546,4.017439251196088,2.4633663641345946,11.286267334348484,2.143236791579756,131.95009497431033,0.6349859105528503,left_hand
