"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.079351833E0,9.592053223E-1,-3.718567200E0,-4.044589233E-1,3.861528699E0
1.089416833E0,1.729952545E0,-2.921175385E0,-3.411405945E-1,3.412092956E0
1.099481833E0,2.743345184E0,-2.391876068E0,-6.734495544E-1,3.701425162E0
1.109547833E0,4.578229523E0,-2.782264252E0,-8.164022827E-1,5.419196676E0
1.119612833E0,8.029752045E0,-3.475622406E0,-2.041754150E-1,8.752060135E0
1.129677833E0,1.234348160E1,-3.831432495E0,1.277443542E0,1.298742757E1
1.139742833E0,1.529654068E1,-3.771407318E0,2.866089935E0,1.601318649E1
1.149807833E0,1.451262085E1,-4.649930420E0,2.868035889E0,1.550689030E1
1.159872833E0,1.263522491E1,-5.844596100E0,2.944676514E0,1.422952325E1
1.169937833E0,1.119731506E1,-6.827751617E0,3.001857605E0,1.345396618E1
1.180002833E0,1.071007828E1,-7.752378845E0,2.377056885E0,1.343337463E1
1.190067833E0,1.077309723E1,-8.712182922E0,1.171763306E0,1.390448792E1
1.200132833E0,1.134625534E1,-9.484726410E0,7.450007629E-1,1.480717973E1
1.210198833E0,1.216834579E1,-9.709708557E0,1.460961914E-1,1.556818627E1
1.220263833E0,1.306273590E1,-9.664502563E0,-4.469705200E-1,1.625538254E1
1.230328833E0,1.308488983E1,-9.608069916E0,-4.282594299E-1,1.623923507E1
1.240393833E0,1.139041351E1,-9.154962158E0,-4.640350342E-1,1.462088166E1
1.250458833E0,1.011371841E1,-9.240434418E0,-1.169368286E0,1.374919454E1
1.260523833E0,9.860145721E0,-9.176068268E0,-3.808081055E-1,1.347470658E1
1.270588833E0,1.062310913E1,-9.011710052E0,1.009351044E0,1.396710977E1
1.280653833E0,1.029109955E1,-8.763226776E0,1.468596039E0,1.359623653E1
1.290718833E0,7.992479553E0,-9.071735229E0,2.049088898E0,1.226274336E1
1.300783833E0,5.605243835E0,-7.982151031E0,-7.810757446E-1,9.784864479E0
1.310849833E0,6.105054474E0,-6.887627106E0,-9.743238831E-1,9.255290612E0
1.320914833E0,6.681206360E0,-6.490802307E0,1.660496979E0,9.461832974E0
1.330979833E0,6.632856903E0,-7.096293182E0,1.886526947E0,9.895006395E0
1.341044833E0,7.247628479E0,-7.326364746E0,2.727927246E0,1.066045618E1
1.351109833E0,8.610095215E0,-6.734046478E0,3.425476685E0,1.145491214E1
1.361174833E0,8.444539490E0,-5.939798126E0,1.507215729E0,1.043375044E1
1.371239833E0,8.216713257E0,-4.828808441E0,2.582130432E-1,9.534067426E0
1.381304833E0,8.492589569E0,-4.609065399E0,-6.641688538E-1,9.685488202E0
1.391369833E0,1.124282043E1,-4.236939240E0,-8.381071472E-1,1.204388181E1
1.401435833E0,1.020218445E1,-4.196074219E0,9.166937256E-1,1.106941434E1
1.411500833E0,3.587290192E0,-6.159840546E0,7.065307617E-2,7.128623873E0
1.421565833E0,5.737568665E-1,-8.232879639E0,4.960684204E-1,8.267743826E0
1.431630833E0,3.602259064E0,-7.522007904E0,1.832788696E0,8.539085881E0
