"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.800478637E1,1.292232788E1,-1.014829651E1,7.401658173E0,1.802107166E1
6.801485237E1,1.045051804E1,-8.269852753E0,5.679788818E0,1.448667639E1
6.802491837E1,7.833360443E0,-7.179520111E0,4.306843872E0,1.146542407E1
6.803498438E1,5.899980927E0,-6.871610413E0,2.171534271E0,9.313665534E0
6.804505037E1,4.877906342E0,-7.114555206E0,-2.448907471E-1,8.629648749E0
6.805511637E1,3.980073395E0,-7.880961456E0,-9.493258667E-1,8.879851198E0
6.806518337E1,2.229164429E0,-8.911867676E0,-8.427474976E-1,9.225008556E0
6.807524937E1,-2.926414490E-1,-9.826016693E0,-2.066153412E0,1.004515968E1
6.808531538E1,-2.900218964E0,-1.065140030E1,-3.397933960E0,1.155030535E1
6.809538137E1,-4.214186554E0,-1.097667389E1,-2.790197754E0,1.208436765E1
6.810544737E1,-4.437671814E0,-1.083746338E1,2.260299683E-1,1.171301128E1
6.811551337E1,-3.217559052E0,-1.035157379E1,1.605112152E0,1.095829144E1
6.812557937E1,-1.536255341E0,-9.175619202E0,2.101180573E0,9.537663655E0
6.813564538E1,-4.486170959E-1,-7.586673431E0,2.580783234E0,8.026164286E0
6.814571137E1,7.514373779E-1,-5.941594391E0,2.953508148E0,6.677605291E0
6.815577737E1,2.039808197E0,-4.531376953E0,3.556604004E0,6.110943185E0
6.816584337E1,3.037633209E0,-3.387306061E0,4.312082977E0,6.268581775E0
6.817590937E1,3.617078247E0,-1.733994141E0,5.186414795E0,6.556591275E0
6.818597538E1,4.452640686E0,6.471043396E-1,6.021378479E0,7.516764722E0
6.819604137E1,5.486840057E0,1.632654877E0,6.446494446E0,8.621384251E0
6.820610737E1,5.828429718E0,-4.819976807E-2,6.265071716E0,8.557104639E0
6.821617337E1,4.619094543E0,-1.183588715E0,5.112468567E0,6.991012194E0
6.822623937E1,3.348985748E0,-1.321302338E0,3.948189697E0,5.343196356E0
6.823630538E1,2.833008728E0,-1.646126862E0,3.457959137E0,4.763733146E0
6.824637137E1,2.489473114E0,-1.986668701E0,3.078647919E0,4.429718041E0
6.825643737E1,2.230811005E0,-2.216141510E0,2.675835571E0,4.128909897E0
6.826650437E1,2.176473999E0,-2.553539886E0,1.910776520E0,3.861174941E0
6.827657037E1,2.754272461E0,-3.288361816E0,-6.825805664E-2,4.289988274E0
6.828663638E1,4.361031189E0,-4.609813843E0,-4.285887451E0,7.657532758E0
6.829670237E1,6.967710571E0,-7.473209381E0,-1.546973053E1,1.853942857E1
6.830676837E1,1.041908340E1,-1.464255066E1,-3.090278732E1,3.574834056E1
6.831683437E1,8.809330902E0,-2.469848923E1,-2.821542572E1,3.851921507E1
6.832690037E1,3.381917267E0,-2.990391449E1,-1.597657654E1,3.407245903E1
6.833696638E1,3.191363525E0,-2.850462433E1,-1.138023468E1,3.085787016E1
6.834703237E1,4.782704315E0,-2.052067703E1,-8.790170746E0,2.283067122E1
6.835709837E1,2.812651062E0,-1.273940826E1,-5.869294739E0,1.430566844E1
6.836716437E1,1.015488281E0,-7.818690948E0,-3.846700745E0,8.772699198E0
6.837723037E1,1.567240906E-1,-5.640121307E0,-1.948647766E0,5.969318128E0
6.838729638E1,7.716453552E-1,-5.251379700E0,6.421646118E-2,5.308158726E0
6.839736237E1,2.281256104E0,-6.450086975E0,1.429227905E0,6.989309251E0
6.840742837E1,3.586392059E0,-8.413553925E0,1.463806000E0,9.262441668E0
6.841749437E1,5.668861542E0,-1.077160034E1,9.303153992E-1,1.220773738E1
