"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.030031375E0,7.129973145E0,-1.218166809E0,1.960323486E0,7.494218811E0
1.040097375E0,7.489675140E0,-1.350940704E0,1.617087250E0,7.780439941E0
1.050162375E0,7.260501709E0,-1.366807709E0,1.396595764E0,7.518878115E0
1.060228375E0,7.169640656E0,-1.775757294E0,1.092428284E0,7.466623109E0
1.070294375E0,7.298073578E0,-2.587219849E0,6.126759338E-1,7.767300451E0
1.080360375E0,7.782466278E0,-3.595972137E0,1.351689148E-1,8.574151131E0
1.090425375E0,9.030271454E0,-4.694837036E0,-9.580078125E-3,1.017778901E1
1.100491375E0,1.058374100E1,-5.439837799E0,4.122427368E-1,1.190702956E1
1.110557375E0,1.173200317E1,-5.590873718E0,9.653425598E-1,1.303187069E1
1.120622375E0,1.287996597E1,-5.852080536E0,1.229243774E0,1.420040177E1
1.130688375E0,1.409633652E1,-6.471043396E0,1.082848206E0,1.554842970E1
1.140754375E0,1.518906418E1,-7.432494049E0,6.168672180E-1,1.692129320E1
1.150820375E0,1.588960739E1,-8.490194550E0,1.522334290E-1,1.801627602E1
1.160885375E0,1.645004196E1,-9.482780457E0,-1.321751404E-1,1.898800874E1
1.170951375E0,1.708247681E1,-1.031969009E1,-1.571731567E-2,1.995763675E1
1.181017125E0,1.771057068E1,-1.065409470E1,5.697152710E-1,2.067603983E1
1.191082125E0,1.830004486E1,-1.039977356E1,1.366208954E0,2.109297179E1
1.201148125E0,1.877246246E1,-9.704918518E0,2.251318359E0,2.125227575E1
1.211214125E0,1.933633987E1,-8.806636505E0,3.101250916E0,2.147250902E1
1.221280125E0,1.989931915E1,-7.822283478E0,3.805386658E0,2.171755026E1
1.231345125E0,2.013238449E1,-6.788084106E0,4.131109314E0,2.164386877E1
1.241411125E0,1.998104919E1,-6.104904785E0,3.920946350E0,2.125761063E1
1.251477125E0,1.928948730E1,-5.901777191E0,3.246898041E0,2.043178018E1
1.261543125E0,1.817774918E1,-5.821544037E0,2.184257813E0,1.921176520E1
1.271608125E0,1.677426773E1,-5.845643921E0,9.565109253E-1,1.778939358E1
1.281674125E0,1.539279053E1,-5.848338318E0,-1.182540894E-1,1.646678613E1
1.291740125E0,1.422656570E1,-5.748945007E0,-1.046623535E0,1.537988821E1
1.301805125E0,1.310015808E1,-5.344037018E0,-1.547032928E0,1.423257476E1
1.311871125E0,1.187570435E1,-4.664450226E0,-1.503024445E0,1.284712155E1
1.321937125E0,1.094508957E1,-4.011208649E0,-1.121617584E0,1.171079871E1
1.332003125E0,1.018961060E1,-3.503913574E0,-6.038442993E-1,1.079213614E1
1.342068125E0,9.543254700E0,-3.178190918E0,-1.811233521E-2,1.005857524E1
1.352134125E0,9.026379547E0,-2.857407990E0,4.165837097E-1,9.477016943E0
1.362200125E0,8.484506378E0,-2.483186188E0,7.809260559E-1,8.874846907E0
1.372266125E0,8.017477570E0,-2.111509094E0,1.056502991E0,8.357907382E0
1.382331125E0,7.633226624E0,-1.814376984E0,1.205143890E0,7.937914356E0
1.392397125E0,7.248077545E0,-1.572330322E0,1.087937622E0,7.496029550E0
1.402463125E0,7.151079254E0,-1.473835144E0,6.969506836E-1,7.334566435E0
1.412528125E0,7.139253845E0,-1.392404480E0,3.546125793E-1,7.282409339E0
1.422594125E0,7.107819214E0,-1.306932220E0,1.293310547E-1,7.228132008E0
1.432660125E0,7.287445679E0,-1.221310272E0,-8.382568359E-3,7.389082052E0
1.442726125E0,7.630681915E0,-1.023721161E0,-3.278182983E-2,7.699115933E0
1.452791125E0,7.950117645E0,-8.824150085E-1,1.568737793E-1,8.000477248E0
1.462857125E0,8.312364349E0,-7.897576904E-1,2.820135498E-1,8.354558632E0
1.472923125E0,8.732839966E0,-7.451504517E-1,3.375480652E-1,8.771070731E0
1.482989125E0,9.059909821E0,-7.249424744E-1,7.090754700E-1,9.116484825E0
1.493054125E0,9.739945679E0,-1.537303162E-1,1.204545135E0,9.815350417E0
1.503120125E0,8.863967285E0,-9.288185120E-1,1.203946381E0,8.993447990E0
1.513186125E0,9.265432434E0,-1.293011169E0,1.326242065E0,9.448758336E0
1.523251125E0,1.036414764E1,-2.869532776E-1,1.564995575E0,1.048556673E1
1.533317125E0,1.022478745E1,6.212081909E-2,1.740879822E0,1.037211646E1
1.543383125E0,1.052985306E1,-4.025129700E-1,1.707648926E0,1.067501227E1
1.553449125E0,1.119716537E1,-4.372407532E-1,1.781744843E0,1.134646670E1
1.563514125E0,1.137634277E1,-4.285588074E-1,1.920955353E0,1.154534136E1
1.573580125E0,1.155686737E1,-8.821156311E-1,2.341281281E0,1.182458919E1
1.583646125E0,1.194231583E1,-1.159189453E0,2.625240784E0,1.228228467E1
1.593711125E0,1.217792587E1,-1.277293854E0,2.649490356E0,1.252809472E1
1.603777125E0,1.252729935E1,-1.480271759E0,2.649340668E0,1.288966405E1
1.613843125E0,1.299732193E1,-1.709894257E0,2.418071594E0,1.333046083E1
1.623909125E0,1.343471237E1,-2.082319794E0,2.320324860E0,1.379171707E1
1.633974125E0,1.348949844E1,-2.559527435E0,2.502346344E0,1.395634215E1
1.644040125E0,1.379426468E1,-3.241359558E0,2.395917664E0,1.437110195E1
1.654106125E0,1.427341827E1,-4.087400208E0,2.070793762E0,1.499084709E1
1.664172125E0,1.456321564E1,-4.881199493E0,2.082319794E0,1.549998109E1
1.674237125E0,1.453911575E1,-5.479804688E0,2.332000580E0,1.571153630E1
1.684303125E0,1.458746521E1,-5.814658356E0,2.633473663E0,1.592292613E1
1.694369125E0,1.481469269E1,-5.811664581E0,2.929707642E0,1.618127781E1
1.704434125E0,1.512649429E1,-5.612578583E0,3.072061615E0,1.642405037E1
1.714500125E0,1.546464111E1,-5.203329620E0,2.757864990E0,1.654797822E1
1.724566125E0,1.563124466E1,-4.847968597E0,2.190694427E0,1.651174586E1
1.734632125E0,1.535117706E1,-4.818479919E0,1.358724518E0,1.614690429E1
1.744697125E0,1.471934097E1,-5.201084290E0,4.522096252E-1,1.561777097E1
1.754763125E0,1.416145111E1,-5.833519135E0,-1.580712891E-1,1.531671080E1
1.764829125E0,1.382629807E1,-6.486910400E0,-2.369572449E-1,1.527424870E1
1.774895125E0,1.356389374E1,-7.023694153E0,1.290316772E-1,1.527508239E1
1.784960125E0,1.352587280E1,-7.354356537E0,5.740562439E-1,1.540666530E1
1.795026125E0,1.379740814E1,-7.636370087E0,9.789642334E-1,1.580003135E1
1.805092125E0,1.412417862E1,-7.948770447E0,1.440005493E0,1.627110903E1
1.815157125E0,1.462324081E1,-8.059689789E0,2.063159637E0,1.682422061E1
1.825223125E0,1.483924164E1,-8.165370026E0,2.488574982E0,1.711926884E1
1.835289125E0,1.469284607E1,-8.335266724E0,2.466271362E0,1.707158140E1
1.845355125E0,1.411669418E1,-8.424930267E0,2.029329987E0,1.656438000E1
1.855420125E0,1.317425400E1,-8.292306061E0,1.728755035E0,1.566243602E1
1.865486125E0,1.221055801E1,-8.055348816E0,1.749561768E0,1.473252653E1
1.875552125E0,1.151046387E1,-7.681127014E0,1.853894806E0,1.396164090E1
1.885617125E0,1.103669907E1,-7.326514435E0,1.744622040E0,1.336152110E1
1.895683125E0,1.050246002E1,-6.940317535E0,1.467847595E0,1.267376229E1
1.905749125E0,9.923314362E0,-6.447392578E0,1.144519958E0,1.188911119E1
1.915815125E0,9.694889374E0,-5.948330383E0,9.210346985E-1,1.141147752E1
1.925880125E0,9.648934937E0,-5.614225159E0,7.393125916E-1,1.118785291E1
1.935946125E0,9.378297729E0,-5.433999939E0,7.415579224E-1,1.086419494E1
1.946012125E0,8.834328918E0,-5.207670593E0,9.223818970E-1,1.029640660E1
1.956078125E0,8.272696838E0,-5.056185608E0,1.002914429E0,9.747223360E0
1.966143125E0,7.752378845E0,-5.008285217E0,9.719288635E-1,9.280460349E0
1.976209125E0,7.219936066E0,-5.003794556E0,9.116043091E-1,8.831560404E0
1.986275125E0,6.768923950E0,-5.005740509E0,8.662486267E-1,8.463223746E0
1.996340125E0,6.437812500E0,-5.038971405E0,8.668473816E-1,8.221197418E0
