"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.766625818E2,-1.627520554E1,-6.706054688E0,-5.448669434E-2,1.760273994E1
1.766726488E2,-1.605426498E1,-6.119723969E0,6.221063232E-1,1.719236638E1
1.766827148E2,-1.587882980E1,-5.838309174E0,8.405021667E-1,1.693899448E1
1.766927808E2,-1.561717392E1,-6.127507782E0,3.649411011E-1,1.678021617E1
1.767028478E2,-1.478430588E1,-6.743177490E0,-5.195695496E-1,1.625780106E1
1.767129138E2,-1.380983231E1,-7.355404358E0,-1.399140472E0,1.570894763E1
1.767229798E2,-1.300989578E1,-7.915689240E0,-2.123334503E0,1.537608773E1
1.767330468E2,-1.241054214E1,-8.695417786E0,-2.798280945E0,1.540980931E1
1.767431128E2,-1.187330933E1,-9.271120605E0,-3.069367218E0,1.537368423E1
1.767531788E2,-1.137499557E1,-9.696685638E0,-3.108286285E0,1.526688181E1
1.767632458E2,-1.102891525E1,-1.008497818E1,-2.874622192E0,1.521864676E1
1.767733118E2,-1.061263092E1,-1.030038025E1,-2.312241669E0,1.496904238E1
1.767833778E2,-1.012659164E1,-1.022763153E1,-1.585951996E0,1.447990155E1
1.767934448E2,-9.666747894E0,-1.002091141E1,-8.640032959E-1,1.395031118E1
1.768035108E2,-9.273365936E0,-9.705517273E0,-2.996768188E-1,1.342692025E1
1.768135768E2,-8.915460205E0,-9.332792358E0,4.430786133E-2,1.290691315E1
1.768236438E2,-8.531059570E0,-8.934470673E0,1.824705505E-1,1.235463634E1
1.768337098E2,-8.044720917E0,-8.465196533E0,1.550775146E-1,1.167908969E1
1.768437768E2,-7.576793976E0,-8.002957764E0,-1.612147522E-1,1.102184785E1
1.768538428E2,-7.175029449E0,-7.574099579E0,-5.803431702E-1,1.044915452E1
1.768639088E2,-6.802304535E0,-7.150330811E0,-9.705816650E-1,9.916683239E0
1.768739758E2,-6.532116394E0,-6.810088348E0,-1.297501831E0,9.525196003E0
1.768840418E2,-6.317013702E0,-6.551126862E0,-1.535207520E0,9.229235472E0
